Sample,Time,Ann Class,Value,
30787474,153.937 ms,Packet: DATA1,DATA1 [ ],
30788110,153.941 ms,Packet: ACK,ACK,
30799891,153.999 ms,Packet: SETUP,SETUP ADDR 16 EP 0,
30800541,154.003 ms,Packet: DATA0,DATA0 [ 00 09 01 00 00 00 00 00 ],
30802242,154.011 ms,Packet: ACK,ACK,
30804724,154.024 ms,Packet: IN,IN ADDR 16 EP 0,
30805355,154.027 ms,Packet: NAK,NAK,
30820208,154.101 ms,Packet: IN,IN ADDR 16 EP 0,
30820839,154.104 ms,Packet: DATA1,DATA1 [ ],
30821524,154.108 ms,Packet: ACK,ACK,
31038258,155.191 ms,Packet: SETUP,SETUP ADDR 16 EP 0,
31038908,155.195 ms,Packet: DATA0,DATA0 [ A1 21 00 00 00 00 07 00 ],
31040613,155.203 ms,Packet: ACK,ACK,
31043092,155.215 ms,Packet: IN,IN ADDR 16 EP 0,
31043723,155.219 ms,Packet: NAK,NAK,
31052358,155.262 ms,Packet: IN,IN ADDR 16 EP 0,
31052990,155.265 ms,Packet: DATA1,DATA1 [ 00 00 00 00 00 00 00 ],
31054608,155.273 ms,Packet: ACK,ACK,
31057442,155.287 ms,Packet: OUT,OUT ADDR 16 EP 0,
31058092,155.290 ms,Packet: DATA1,DATA1 [ ],
31058729,155.294 ms,Packet: ACK,ACK,
31065758,155.329 ms,Packet: SETUP,SETUP ADDR 16 EP 0,
31066408,155.332 ms,Packet: DATA0,DATA0 [ 21 22 00 00 00 00 00 00 ],
31068124,155.341 ms,Packet: ACK,ACK,
31070725,155.354 ms,Packet: IN,IN ADDR 16 EP 0,
31071356,155.357 ms,Packet: DATA1,DATA1 [ ],
31072042,155.360 ms,Packet: ACK,ACK,
31116942,155.585 ms,Packet: SETUP,SETUP ADDR 16 EP 0,
31117592,155.588 ms,Packet: DATA0,DATA0 [ 21 20 00 00 00 00 07 00 ],
31119294,155.596 ms,Packet: ACK,ACK,
31121892,155.609 ms,Packet: OUT,OUT ADDR 16 EP 0,
31122542,155.613 ms,Packet: DATA1,DATA1 [ 00 00 00 00 00 00 00 ],
31124122,155.621 ms,Packet: ACK,ACK,
31126925,155.635 ms,Packet: IN,IN ADDR 16 EP 0,
31127558,155.638 ms,Packet: DATA1,DATA1 [ ],
31128242,155.641 ms,Packet: ACK,ACK,
31134342,155.672 ms,Packet: SETUP,SETUP ADDR 16 EP 0,
31134992,155.675 ms,Packet: DATA0,DATA0 [ A1 21 00 00 00 00 07 00 ],
31136697,155.683 ms,Packet: ACK,ACK,
31139192,155.696 ms,Packet: IN,IN ADDR 16 EP 0,
31139822,155.699 ms,Packet: NAK,NAK,
31149759,155.749 ms,Packet: IN,IN ADDR 16 EP 0,
31150392,155.752 ms,Packet: DATA1,DATA1 [ 00 00 00 00 00 00 00 ],
31152009,155.760 ms,Packet: ACK,ACK,
31154842,155.774 ms,Packet: OUT,OUT ADDR 16 EP 0,
31155492,155.777 ms,Packet: DATA1,DATA1 [ ],
31156130,155.781 ms,Packet: ACK,ACK,
31984944,159.925 ms,Packet: SETUP,SETUP ADDR 16 EP 0,
31985594,159.928 ms,Packet: DATA0,DATA0 [ 80 06 00 03 00 00 FF 00 ],
31987310,159.937 ms,Packet: ACK,ACK,
31989778,159.949 ms,Packet: IN,IN ADDR 16 EP 0,
31990408,159.952 ms,Packet: NAK,NAK,
31999761,159.999 ms,Packet: IN,IN ADDR 16 EP 0,
32000391,160.002 ms,Packet: DATA1,DATA1 [ 04 03 09 04 ],
32001611,160.008 ms,Packet: ACK,ACK,
32005028,160.025 ms,Packet: OUT,OUT ADDR 16 EP 0,
32005678,160.028 ms,Packet: DATA1,DATA1 [ ],
32006314,160.032 ms,Packet: ACK,ACK,
32126678,160.633 ms,Packet: SETUP,SETUP ADDR 16 EP 0,
32127328,160.637 ms,Packet: DATA0,DATA0 [ 80 06 01 03 09 04 FF 00 ],
32129043,160.645 ms,Packet: ACK,ACK,
32131511,160.658 ms,Packet: IN,IN ADDR 16 EP 0,
32132142,160.661 ms,Packet: NAK,NAK,
32140761,160.704 ms,Packet: IN,IN ADDR 16 EP 0,
32141393,160.707 ms,Packet: DATA1,DATA1 [ 26 03 53 00 54 00 4D 00 69 00 63 00 72 00 6F 00 65 00 6C 00 65 00 63 00 74 00 72 00 6F 00 6E 00 69 00 63 00 73 00 ],
32147128,160.736 ms,Packet: ACK,ACK,
32150345,160.752 ms,Packet: OUT,OUT ADDR 16 EP 0,
32150995,160.755 ms,Packet: DATA1,DATA1 [ ],
32151637,160.758 ms,Packet: ACK,ACK,
32175861,160.879 ms,Packet: SETUP,SETUP ADDR 16 EP 0,
32176511,160.883 ms,Packet: DATA0,DATA0 [ 80 06 02 03 09 04 FF 00 ],
32178227,160.891 ms,Packet: ACK,ACK,
32180695,160.903 ms,Packet: IN,IN ADDR 16 EP 0,
32181328,160.907 ms,Packet: NAK,NAK,
32189961,160.950 ms,Packet: IN,IN ADDR 16 EP 0,
